Which of the following types of ticketed experience have you *attended in the past 5 years*?,"And overall, *how often do you go* to these types of activities?",Who do you typically *spend your free time with*?,And would you mind telling us *your age*?,"This experience is *inspired by TV game shows and escape rooms*.

It* *combines *thrills* with physical and mental *challenges*.

You go to a *purpose-built venue* with *2 to 15 other people*, 
and you all play *a series of minigames*. 

Right off the bat, does this *sound like something you would do*?",Did that description *make you think of any* of the following themes?,Did that description *make you think of any* of the following themes?,"*Welcome to Prison Island.*

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame*.

To what extent *would you like to go *to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

How do you think it compares *versus Prison Island*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go *to this?","*Welcome to Prison Island*.

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame.*

How do you think it compares *versus* *BRKThrough*?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*,

and whoever loses gets covered in paint!

To what extent *would you like to go* to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame.*

How do you think it compares *versus Glow or Go*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go* to this?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*, 

and whoever loses gets covered in paint!

How do you think it compares *versus BRKThrough*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?",And which one do you think *most people would prefer*?,And which one do you think *most people would prefer*?,Who would you expect to *have a better time at Prison Island*?,And how much would you expect *one ticket* *for* *Prison Island to cost*?,Who would you expect to *have a better time at BRKThrough*?,And how much would you expect *one ticket* *for* *BRKThrough to cost*?,Who would you expect to *have a better time at Glow or Go*?,And how much would you expect *one ticket* *for* *Glow or Go to cost*?,"*Alright that's all! *No more questions from our side.

Your* $15 gift code is on the next page*.

Make sure to *hit the button to record your answers *and complete the survey.

If you'd like to *share any closing thoughts*, type them here!",idu,c,ct,g,v,j,Submitted At,Token
"*Music Concerts*, *Immersive Experiences*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*",*Once or twice a month*,,*45-54*,*Just found out* and am *interested*,,,,,,,5,,,,,,,,,,,,"*School trips*, *Families (with kids)*, *Work groups / Teambuilding*",30,,,,29858870,52,236,c,v,j,6/6/2026 17:04:27,7hukz1oejkk8ev7hukmp66uttaoyqkww
"*Theatre / Performances*, *Comedy Shows*, *Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Immersive Experiences*, *Exhibitions / Museums*, *Nightlife / Festivals*",*Every other week*,"*Sibling(s)*, *My child(ren)*, *Partner*",*65-74*,*Just found out* and am *interested*,,*Heist*,3,,,,,,,,They're *about the same*,,,,,,,,*Mature groups of friends*,40,,,,28296383,114,236,a,v,j,6/6/2026 17:04:59,ywp98s0yljamrk2qpywp98s0kvt28fa4
"*Theatre / Performances*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Music Concerts*, *Movies / Cinema*",*Every other month*,"*Partner*, *Friends* - from *Elsewhere*",*55-64*,"*I knew this* but *not for me*, I know *people who would* *like* this, I know *people who do* this",,*Videogame*,,,,,2,4,,,,,BRKThrough is *slightly better*,,,*Glow or Go*,,,,,"*Young groups of friends*, *Friend gatherings / Birthdays*",60,,74687022,16,236,c,v,j,6/6/2026 17:06:13,hsa3h8gi7x4fqf207ewkahs88m7way29
"*Exhibitions / Museums*, *Immersive Experiences*, *Movies / Cinema*, *Theatre / Performances*, *Comedy Shows*, *Sports / Competitions*, *Music Concerts*, *Nightlife / Festivals*, *Talks / Conferences*",*Every other month*,,*35-44*,I've *done this myself *in the past,,"*Videogame*, *Heist*, *Clocks*",2,5,,,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,,"*Families (only adults)*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Young groups of friends*",35,,,,54006147,54,236,a,n,j,6/6/2026 17:06:16,ijn2zym2cfubuwdv5jijn2zyq61ptk5j
"*Theatre / Performances*, *Immersive Experiences*, *Music Concerts*, *Exhibitions / Museums*, *Nightlife / Festivals*",*Once or twice a month*,,*25-34*,I know *people who would* *like* this,,"*Clocks*, *Heist*, *Dance*, *Arcade*, *Space*, *Ocean*, *Fairground*",,,3,3,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,,"*Families (only adults)*, *Young groups of friends*, *Work groups / Teambuilding*, *Families (with kids)*, *Mature groups of friends*, *Friend gatherings / Birthdays*",20,,,,65637851,21,236,b,n,j,6/6/2026 17:07:50,kr9aibu11581zoezkr9aib110tbddb20
"*Nightlife / Festivals*, *Comedy Shows*, *Movies / Cinema*, *Sports / Competitions*, *Music Concerts*",*Once or twice a year*,"*My child(ren)*, *Partner*, Other* family*",*35-44*,I've *done this myself *in the past,"*Heist*, *Videogame*",,,,5,4,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Young groups of friends*, *Mature groups of friends*, *Work groups / Teambuilding*",50,,,,,N/a,100576949,54,236,b,v,l,6/6/2026 17:07:55,chw0owpwufye3xhchw0ow6fxfjoefk8o
"*Sports / Competitions*, *Exhibitions / Museums*, *Immersive Experiences*, *Theatre / Performances*, *Movies / Cinema*, *Music Concerts*, *Nightlife / Festivals*",*More than once a week*,,*35-44*,Actually I *really enjoy these*,,"*Heist*, *Sports*, *Space*, *Dance*, *Ocean*",,,,,,,5,,,,,,,,,,,,,,,56077082,6,236,d,v,j,1/1/0001 0:00:00,5q0y8f9xtic6trhjtp475q0y8f9xb40k
"*Sports / Competitions*, *Exhibitions / Museums*, *Immersive Experiences*, *Theatre / Performances*, *Movies / Cinema*, *Music Concerts*, *Nightlife / Festivals*",*More than once a week*,,*35-44*,Actually I *really enjoy these*,,"*Heist*, *Sports*, *Space*, *Dance*, *Ocean*",,,,,,,5,2,,,,,,,,,,,,,,56077082,6,236,d,v,j,1/1/0001 0:00:00,5q0y8f9xtic6trhjtp475q0y8f9xb40k
"*Sports / Competitions*, *Exhibitions / Museums*, *Immersive Experiences*, *Theatre / Performances*, *Movies / Cinema*, *Music Concerts*, *Nightlife / Festivals*",*More than once a week*,,*35-44*,Actually I *really enjoy these*,,"*Heist*, *Sports*, *Space*, *Dance*, *Ocean*",,,,,,,5,2,,,*BRKThrough *is* much better*,,,,,,"*Young groups of friends*, *Families (only adults)*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Tourists*",50,,,,56077082,6,236,d,v,j,6/6/2026 17:10:57,5q0y8f9xtic6trhjtp475q0y8f9xb40k
"*Immersive Experiences*, *Exhibitions / Museums*, *Theatre / Performances*, *Movies / Cinema*",*Once a week*,*Partner*,*25-34*,"Pricing makes a difference for me in terms of interest, I like that there is an option for two people but cost again matters",*Videogame*,,,,1,3,,,,,,Prison Island is *slightly better*,,,*BRKThrough*,,,,"*School trips*, *Families (with kids)*",35,,,More escape room type activities at reasonable prices I think would get more people to do them.,28607314,6,236,b,v,l,6/6/2026 17:14:31,26jz19ftmro47mqjcfgx26jz19frajmm
"*Immersive Experiences*, *Movies / Cinema*, *Theatre / Performances*, *Sports / Competitions*, *Exhibitions / Museums*, *Comedy Shows*, *Talks / Conferences*",*Once or twice a month*,"*Partner*, *My child(ren)*",*55-64*,"*I knew this* but *not for me*, *Just found out* and am *interested*",,"*Videogame*, *Arcade*, *Heist*",,,3,1,,,,,,They're *about the same*,,,*Prison Island*,,"*Tourists*, *Work groups / Teambuilding*, *Mature groups of friends*, *Friend gatherings / Birthdays*",30,,,,,,100065149,52,236,b,v,j,6/6/2026 17:17:37,e6v5a7pe7nq5ki5ce6v5a7l049tz0zxb
"*Exhibitions / Museums*, *Comedy Shows*, *Immersive Experiences*, *Movies / Cinema*, *Music Concerts*",*Every other month*,"*Sibling(s)*, *Friends* - from *Elsewhere*",*35-44*,Actually I *really enjoy these*,*Arcade*,,5,4,,,,,,,They're *about the same*,,,,*Prison Island*,,"*Work groups / Teambuilding*, *Friend gatherings / Birthdays*",55,,,,,,88734115,54,236,a,n,l,6/6/2026 17:22:19,kiuxvn8oz8fwlyyzokw5kiuxvn80xh4l
"*Movies / Cinema*, *Music Concerts*, *Theatre / Performances*, *Exhibitions / Museums*, *Immersive Experiences*",*Every other month*,*Friends* - from *Elsewhere*,*25-34*,*Just found out* and am *interested*,,"*Heist*, *Sports*",,,,,3,,,,,,Glow or Go is *slightly better*,,,,,,"*Young groups of friends*, *Families (with kids)*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *School trips*",30,,,,75948453,52,236,c,v,j,6/6/2026 17:34:45,2y2mpccb6ij8hpkz4w2y2mpccbtz9ac5
*Music Concerts*,*Less than that*,*Friends* - from *School*,*18-24*,"Don't know,* not sure I get it*","*Heist*, *Arcade*",,5,,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,,45,,,,100124452,6,236,a,n,l,6/6/2026 17:39:01,pak6cwk6s2j86uzrb0wopak6cwkit3nh
"*Exhibitions / Museums*, *Theatre / Performances*, *Talks / Conferences*, *Immersive Experiences*",*Every other week*,"*My child(ren)*, Other* family*",*75-84*,*Just found out* but *not for me*,"*Arcade*, *Videogame*, *Fairground*",,1,1,,,,,,,They're *about the same*,,,,,,,,*Young groups of friends*,20,,,,83924622,52,236,a,v,l,6/6/2026 17:40:20,r3rtdtjhctfszcb064r3rtdtpcecgrqa
"*Nightlife / Festivals*, *Immersive Experiences*",*Every other month*,"*Friends* - from *Elsewhere*, *Partner*",*55-64*,Actually I *really enjoy these*,*Heist*,,,,,,,,3,,,,,,,,,,,,,,,40103388,52,236,d,n,l,1/1/0001 0:00:00,dzxg8zgbt5mabf2rzdzxg8zg0rfj58tx
"*Nightlife / Festivals*, *Immersive Experiences*",*Every other month*,"*Friends* - from *Elsewhere*, *Partner*",*55-64*,Actually I *really enjoy these*,*Heist*,,,,,,,,3,,,,,They're *about the same*,,*BRKThrough*,,,*Friend gatherings / Birthdays*,55,,,,40103388,52,236,d,n,l,6/6/2026 17:48:52,dzxg8zgbt5mabf2rzdzxg8zg0rfj58tx
"*Music Concerts*, *Immersive Experiences*, *Exhibitions / Museums*, *Movies / Cinema*",*Once or twice a year*,*Friends* - from *School*,*55-64*,"Actually I *really enjoy these*, I know *people who would* *like* this","*Sports*, *Arcade*",,3,3,,,,,,,,,,,*BRKThrough*,,,,"*Families (with kids)*, *Friend gatherings / Birthdays*, *Young groups of friends*, *Work groups / Teambuilding*, *Mature groups of friends*, *Families (only adults)*",30,,,,45213741,6,236,a,n,l,6/6/2026 17:55:08,sqjh7n3jelzrcam4snjsqjh7nwkh4wvb
"*Comedy Shows*, *Immersive Experiences*, *Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*",*Every other month*,*Partner*,*25-34*,*Just found out* and am *interested*,,"*Videogame*, *Arcade*",4,,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,*Mature groups of friends*,45,,,,98660302,21,236,a,v,j,6/6/2026 17:57:47,hqvmk9dq1m4l13b8sdnhqvmk9dns0s8q
"*Music Concerts*, *Comedy Shows*, *Movies / Cinema*, *Sports / Competitions*, *Nightlife / Festivals*, *Theatre / Performances*, *Exhibitions / Museums*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*55-64*,*Just found out* and am *interested*,,"*Arcade*, *Clocks*, *Dance*",4,4,,,,,,,,They're *about the same*,,,*BRKThrough*,,,,"*Mature groups of friends*, *Work groups / Teambuilding*, *Families (only adults)*",40,,,,79754056,54,236,a,v,j,6/6/2026 18:03:32,yn6r1jzm2n5w7sybcpyn6r1jzp8858x6
"*Exhibitions / Museums*, *Music Concerts*, *Nightlife / Festivals*, *Talks / Conferences*, *Movies / Cinema*",*Every other week*,"*Partner*, *Friends* - from *Elsewhere*",*35-44*,*Just found out* and am *interested*,"*Heist*, *Arcade*",,,,,,1,,,,,,*BRKThrough *is* much better*,,,,,,"*Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Mature groups of friends*",45,,,,55611543,16,236,c,n,l,6/6/2026 18:06:24,utth41td0uxzch1utth4f1f7x6emklce
"*Theatre / Performances*, *Music Concerts*, *Movies / Cinema*, *Sports / Competitions*, *Immersive Experiences*, *Talks / Conferences*",*Once or twice a month*,,*35-44*,"Don't know,* not sure I get it*, *Just found out* and am *interested*","*Heist*, *Videogame*, *Jail*",,3,4,,,,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,,,30,,,Look forward to learning more. I think the level of physicality required will either excite or turn people off.,46496657,16,236,a,v,l,6/6/2026 18:09:43,btcmsblgsyoqsrzqbtcms6mk07y1bor1
"*Sports / Competitions*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*, *Music Concerts*",*Once or twice a month*,"*Sibling(s)*, *Friends* - from *Work*, *My child(ren)*, *Parent(s)*, *Friends* - from *Elsewhere*, *Partner*",*35-44*,"*I knew this *and am* interested*, I know *people who would* *like* this, I know *people who do* this, I've *done this myself *in the past","*Sports*, *Videogame*",,3,3,,,,,,,,,,,*Prison Island*,,,40,,,,,,96246875,52,236,a,v,l,6/6/2026 18:11:29,romsohlaqoy8tx32cromsohl6qw6in8y
"*Immersive Experiences*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Comedy Shows*, *Sports / Competitions*, *Theatre / Performances*, *Music Concerts*, *Movies / Cinema*",*Once or twice a month*,"*Partner*, *Friends* - from *School*, *Friends* - from *Work*, *Parent(s)*",*18-24*,Actually I *really enjoy these*,,*Videogame*,,,5,,,,,,,*Prison Island *is* much better*,,,*Prison Island*,,"*Friend gatherings / Birthdays*, *Families (only adults)*, *Work groups / Teambuilding*, *Families (with kids)*, *Young groups of friends*, *Mature groups of friends*",30,,,,,"Having the diversity of challenges like Prison Island (and if possible keeping your past scores like Level99 or Activate) makes rooms like this more fun and repeatable, drawing users back.",99179435,54,236,b,v,j,6/6/2026 18:15:02,ob8fh3s7gun0wzrjpn3ob8fh3srh1n23
"*Movies / Cinema*, *Exhibitions / Museums*, *Comedy Shows*, *Immersive Experiences*, *Theatre / Performances*, *Nightlife / Festivals*, *Music Concerts*",*Every other month*,"*Partner*, Other* family*, *Sibling(s)*, *Friends* - from *Elsewhere*",*35-44*,"Actually I *really enjoy these*, I've *done this myself *in the past, I know *people who do* this, I know *people who would* *like* this",,"*Heist*, *Space*, *Sports*, *Bowling Alley*, *Videogame*, *Arcade*, *Fairground*",5,4,,,,,,,They're *about the same*,,,,,,,,"*Friend gatherings / Birthdays*, *Families (with kids)*, *Mature groups of friends*, *Families (only adults)*, *Tourists*, *Work groups / Teambuilding*",30,,,,25378394,6,236,a,v,j,6/6/2026 18:29:30,s0tcea1a5060kn99ns0tc613r33yzh7w
"*Comedy Shows*, *Music Concerts*, *Immersive Experiences*, *Movies / Cinema*, *Exhibitions / Museums*, *Theatre / Performances*, *Nightlife / Festivals*, *Talks / Conferences*",*Every other month*,,*65-74*,*Just found out* and am *interested*,,"*Arcade*, *Sports*, *Videogame*, *Heist*",3,5,,,,,,,,,,,*BRKThrough*,,,,*Families (with kids)*,20,,,We went to your Machu Picchu VR and loved it. Would love more of the VR experiences!,27348256,52,236,a,v,j,6/6/2026 18:31:59,m64u4kohp929fg3qcm64u4klka4u4jka
"*Exhibitions / Museums*, *Movies / Cinema*, *Immersive Experiences*, *Comedy Shows*, *Music Concerts*, *Sports / Competitions*, *Theatre / Performances*",*Every other month*,"*Friends* - from *Work*, *Friends* - from *Elsewhere*, *Partner*",*25-34*,"Actually I *really enjoy these*, I've *done this myself *in the past, *I knew this *and am* interested*",,"*Heist*, *Videogame*, *Sports*, *Ocean*, *Dance*, *Arcade*, *Fairground*, *Bowling Alley*, *Clocks*, *Space*",,,,,,,4,3,,,,,,,,,,,,,,97512957,52,236,d,v,j,1/1/0001 0:00:00,63u7p3ucs8htrm8s263u7fmzack9fgt9
"*Theatre / Performances*, *Immersive Experiences*, *Music Concerts*, *Movies / Cinema*, *Sports / Competitions*, *Comedy Shows*, *Nightlife / Festivals*, *Exhibitions / Museums*",*Once or twice a month*,"*Partner*, *Friends* - from *Work*, *Friends* - from *School*",*25-34*,*Just found out* and am *interested*,"*Heist*, *Arcade*, *Videogame*, *Fairground*",,,,5,,,,,,,They're *about the same*,,,*BRKThrough*,,,,"*Mature groups of friends*, *Work groups / Teambuilding*, *Families (only adults)*",25,,,,55631745,52,236,b,n,l,6/6/2026 18:35:27,939h0fv4e6m7vqhbn939h0fhd0pcka1l
"*Music Concerts*, *Exhibitions / Museums*",*Once or twice a year*,*My child(ren)*,*35-44*,*I knew this *and am* interested*,,*Ocean*,,,,,,,5,5,,,,,,,,,,,,,,32902881,54,236,d,n,j,1/1/0001 0:00:00,keeacg9th0mxb4n1hsoxkeea2gpo3fqq
*Theatre / Performances*,*Once or twice a year*,"*My child(ren)*, *Friends* - from *Elsewhere*, *Sibling(s)*",*55-64*,"I know *people who would* *like* this, *Just found out* but *not for me*",,"*Arcade*, *Videogame*, *Heist*",3,,,,,,,,They're *about the same*,,,,,,,,"*Work groups / Teambuilding*, *Families (with kids)*, *Young groups of friends*",50,,,,54989231,21,236,a,v,j,6/6/2026 18:52:20,f97i2neqcksds8b40f97ivz8ab3492ew
"*Music Concerts*, *Exhibitions / Museums*",*Once or twice a year*,*My child(ren)*,*35-44*,*I knew this *and am* interested*,,*Ocean*,,,,,,,5,5,,,,,,*Glow or Go*,,,,,*Families (with kids)*,30,,32902881,54,236,d,n,j,6/6/2026 18:52:35,keeacg9th0mxb4n1hsoxkeea2gpo3fqq
"*Music Concerts*, *Exhibitions / Museums*, *Movies / Cinema*, *Sports / Competitions*, *Theatre / Performances*, *Talks / Conferences*, *Comedy Shows*",*Every other month*,,*55-64*,I've *done this myself *in the past,Game show,,,,1,3,,,,,,They're *about the same*,,,*Prison Island*,,*Work groups / Teambuilding*,18,,,,,,99206309,52,236,b,n,l,6/6/2026 18:57:57,0ncjw58khlhwhpv00ncjw36cqi8jr83i
"*Movies / Cinema*, *Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a month*,"*Partner*, Other* family*, *My child(ren)*",*65-74*,*Just found out* and am *interested*,,*Videogame*,,,,,,,4,,,,,,,,,,,,,,,83508087,54,236,d,v,j,1/1/0001 0:00:00,8rh2s62uqxzan4qxxs8rh2s62kaoi05r
"*Movies / Cinema*, *Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a month*,"*Partner*, Other* family*, *My child(ren)*",*65-74*,*Just found out* and am *interested*,,*Videogame*,,,,,,,4,3,,,,,,,,,,,,,,83508087,54,236,d,v,j,1/1/0001 0:00:00,8rh2s62uqxzan4qxxs8rh2s62kaoi05r
"*Movies / Cinema*, *Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a month*,"*Partner*, Other* family*, *My child(ren)*",*65-74*,*Just found out* and am *interested*,,*Videogame*,,,,,,,4,3,,,,*BRKThrough *is* much better*,,*BRKThrough*,,,*Families (only adults)*,10,,,,83508087,54,236,d,v,j,6/6/2026 19:09:50,8rh2s62uqxzan4qxxs8rh2s62kaoi05r
"*Nightlife / Festivals*, *Comedy Shows*, *Talks / Conferences*, *Movies / Cinema*, *Immersive Experiences*, *Exhibitions / Museums*, *Music Concerts*, *Theatre / Performances*",*Every other week*,"*Friends* - from *Work*, Other* family*, *Friends* - from *School*, *Partner*, *Friends* - from *Elsewhere*",*65-74*,*Just found out* and am *interested*,"*Heist*, *Clocks*, *Fairground*",,,,,,,,5,3,,,,,,,,,,,,,,40540397,21,236,d,v,l,1/1/0001 0:00:00,3e15ucxc4g1s94uou3e15u0n8hatlfyd
"*Theatre / Performances*, *Comedy Shows*, *Movies / Cinema*, *Immersive Experiences*, *Music Concerts*, *Nightlife / Festivals*, *Exhibitions / Museums*",*Once or twice a month*,,*35-44*,"*I knew this* but *not for me*, *Just found out* and am *interested*",,"*Heist*, *Videogame*",3,4,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,"*Families (with kids)*, *School trips*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",25,,,None,100182061,52,236,a,v,j,6/6/2026 19:19:17,xmxf3kik342zuyhxmxrthotdk9n27r1d
"*Nightlife / Festivals*, *Comedy Shows*, *Talks / Conferences*, *Movies / Cinema*, *Immersive Experiences*, *Exhibitions / Museums*, *Music Concerts*, *Theatre / Performances*",*Every other week*,"*Friends* - from *Work*, Other* family*, *Friends* - from *School*, *Partner*, *Friends* - from *Elsewhere*",*65-74*,*Just found out* and am *interested*,"*Heist*, *Clocks*, *Fairground*",,,,,,,,5,3,,,,They're *about the same*,,*Glow or Go*,,,,,"*Families (with kids)*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Young groups of friends*, *Families (only adults)*, *Tourists*",25,I like the idea of go and glo without the paint at the end,40540397,21,236,d,v,l,6/6/2026 19:19:17,3e15ucxc4g1s94uou3e15u0n8hatlfyd
"*Exhibitions / Museums*, *Movies / Cinema*, *Nightlife / Festivals*, *Immersive Experiences*",*Once or twice a month*,"*Partner*, *Friends* - from *Work*",*18-24*,*Just found out* and am *interested*,,"*Bowling Alley*, *Arcade*, *Videogame*, *Dance*, *Fairground*, *Ocean*",,,,,,,5,3,,,,,,,,,,,,,,66354875,54,236,d,n,j,1/1/0001 0:00:00,ikyebly2eepbby8fw4qikyebhprj0bum
"*Exhibitions / Museums*, *Movies / Cinema*, *Nightlife / Festivals*, *Immersive Experiences*",*Once or twice a month*,"*Partner*, *Friends* - from *Work*",*18-24*,*Just found out* and am *interested*,,"*Bowling Alley*, *Arcade*, *Videogame*, *Dance*, *Fairground*, *Ocean*",,,,,,,5,3,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Mature groups of friends*, *Young groups of friends*, *Families (only adults)*",40,,,,66354875,54,236,d,n,j,6/6/2026 19:32:43,ikyebly2eepbby8fw4qikyebhprj0bum
"*Sports / Competitions*, *Music Concerts*, *Nightlife / Festivals*, *Movies / Cinema*, *Talks / Conferences*, *Comedy Shows*",*Once or twice a month*,*Friends* - from *Elsewhere*,*25-34*,*I knew this* but *not for me*,"*Videogame*, *Arcade*",,,,,,1,3,,,,,,,,*BRKThrough*,,,,50,,,I typically just like to observe and relax with leisure type activities. I’m not really trying to compete or think too hard. I do that enough at work!,98697138,16,236,c,v,l,6/6/2026 19:34:10,i38y333x4hicnzfbfi38yz02e4ohe258
"*Sports / Competitions*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*, *Exhibitions / Museums*",*Once or twice a month*,,*55-64*,"Don't know,* not sure I get it*, I know *people who do* this","*Videogame*, *Arcade*",,,,,,3,3,,,,,,,,*Glow or Go*,,,,,,25,,30586970,21,236,c,n,l,6/6/2026 19:39:01,wpab2axz9wzh8xe2hmsbwpab2au5c6iq
"*Music Concerts*, *Exhibitions / Museums*",*Once or twice a month*,Other* family*,,"Don't know,* not sure I get it*",,"*Heist*, *Dance*, *Videogame*",,,,,1,,,,,,BRKThrough is *slightly better*,,,*Glow or Go*,,,,,*Friend gatherings / Birthdays*,20,,84420565,114,236,c,n,j,6/6/2026 19:40:41,2yigqir9nqsbez7u3fncs2yigqijq8o6
*Music Concerts*,*Once or twice a year*,"*Parent(s)*, *Friends* - from *Work*, Other* family*",*25-34*,*I knew this *and am* interested*,"*Bowling Alley*, *Arcade*",,,,,,,,3,3,,,,,,,,,,,,,,46140326,21,236,d,n,l,1/1/0001 0:00:00,5xbox4d1tem2aw5xbofh021rsch1t9ks
*Music Concerts*,*Once or twice a year*,"*Parent(s)*, *Friends* - from *Work*, Other* family*",*25-34*,*I knew this *and am* interested*,"*Bowling Alley*, *Arcade*",,,,,,,,3,3,,,,They're *about the same*,,*BRKThrough*,,,"*Friend gatherings / Birthdays*, *Families (only adults)*, *Young groups of friends*, *Work groups / Teambuilding*",40,,,,46140326,21,236,d,n,l,6/6/2026 19:47:50,5xbox4d1tem2aw5xbofh021rsch1t9ks
"*Exhibitions / Museums*, *Immersive Experiences*, *Movies / Cinema*",*Every other month*,"*Sibling(s)*, *Partner*, *Parent(s)*, *Friends* - from *Work*",*25-34*,*Just found out* and am *interested*,,*Heist*,,,3,4,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Families (only adults)*, *Mature groups of friends*, *Friend gatherings / Birthdays*",45,,,,,,89897964,21,236,b,n,j,6/6/2026 20:20:29,2t7vfcm3a5gl7zda5t44y2t7vfcmwj5p
"*Immersive Experiences*, *Theatre / Performances*, *Music Concerts*, *Movies / Cinema*, *Exhibitions / Museums*, *Talks / Conferences*",*Every other month*,"*Partner*, *My child(ren)*",*35-44*,*I knew this *and am* interested*,"*Heist*, *Clocks*, *Arcade*, *Videogame*",,4,4,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,"*Families (with kids)*, *Young groups of friends*, *Tourists*",25,,,,82611681,21,236,a,v,l,6/6/2026 20:30:05,7lnebdr1bco6igtcst27lnebduexvsm4
"*Exhibitions / Museums*, *Immersive Experiences*, *Music Concerts*, *Movies / Cinema*, *Nightlife / Festivals*, *Theatre / Performances*, *Comedy Shows*",*Once a week*,*Partner*,*55-64*,*I knew this *and am* interested*,,*Videogame*,3,3,,,,,,,They're *about the same*,,,,,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*",20,,,,32088772,6,236,a,v,j,6/6/2026 20:30:06,m64xd0o8urfzem64zwk3lmlb103jozzw
"*Immersive Experiences*, *Theatre / Performances*, *Nightlife / Festivals*, *Comedy Shows*, *Movies / Cinema*, *Music Concerts*",*Every other month*,*Friends* - from *Elsewhere*,*45-54*,*Just found out* and am *interested*,,,,,,,,,4,1,,,,,,,,,,,,,,64832830,6,236,d,v,l,1/1/0001 0:00:00,14vskkb7uuxuf14v7jw2o1bt9yrkj47j
"*Immersive Experiences*, *Theatre / Performances*, *Nightlife / Festivals*, *Comedy Shows*, *Movies / Cinema*, *Music Concerts*",*Every other month*,*Friends* - from *Elsewhere*,*45-54*,*Just found out* and am *interested*,,,,,,,,,4,1,,,,*BRKThrough *is* much better*,,*BRKThrough*,,,"*Families (with kids)*, *School trips*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Families (only adults)*",45,,,,64832830,6,236,d,v,l,6/6/2026 20:47:00,14vskkb7uuxuf14v7jw2o1bt9yrkj47j
"*Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Movies / Cinema*, *Nightlife / Festivals*",*Once or twice a month*,,*65-74*,I know *people who would* *like* this,,"*Bowling Alley*, *Sports*, *Videogame*, *Heist*",,,,,,,3,1,,,,,,,,,,,,,,30319174,16,236,d,v,j,1/1/0001 0:00:00,gln0bool1ejnwaglnddvdpnk1uhz1kje
"*Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Movies / Cinema*, *Nightlife / Festivals*",*Once or twice a month*,,*65-74*,I know *people who would* *like* this,,"*Bowling Alley*, *Sports*, *Videogame*, *Heist*",,,,,,,3,1,,,*BRKThrough *is* much better*,,,,,,"*Families (only adults)*, *Young groups of friends*, *Mature groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",25,,,,30319174,16,236,d,v,j,6/6/2026 20:59:17,gln0bool1ejnwaglnddvdpnk1uhz1kje
